port,transport,service
1634,udp,loaprobe
1634,tcp,loaprobe
1635,udp,edb-server1
1635,tcp,edb-server1
1636,udp,cncp
1636,tcp,cncp
1637,udp,cnap
1637,tcp,cnap
1638,udp,cnip
1638,tcp,cnip
1639,udp,cert-initiator
1639,tcp,cert-initiator
1640,udp,cert-responder
1640,tcp,cert-responder
1641,udp,invision
1641,tcp,invision
1642,udp,isis-am
1642,tcp,isis-am
1643,udp,isis-ambc
1643,tcp,isis-ambc
1644,tcp,saiseh
1645,udp,sightline
1645,tcp,sightline
1646,udp,sa-msg-port
1646,tcp,sa-msg-port
1647,udp,rsap
1647,tcp,rsap
1648,udp,concurrent-lm
1648,tcp,concurrent-lm
1649,udp,kermit
1649,tcp,kermit
1650,udp,nkd
1650,tcp,nkd
1651,udp,shiva_confsrvr
1651,tcp,shiva_confsrvr
1652,udp,xnmp
1652,tcp,xnmp
1653,udp,alphatech-lm
1653,tcp,alphatech-lm
1654,udp,stargatealerts
1654,tcp,stargatealerts
1655,udp,dec-mbadmin
1655,tcp,dec-mbadmin
1656,udp,dec-mbadmin-h
1656,tcp,dec-mbadmin-h
1657,udp,fujitsu-mmpdc
1657,tcp,fujitsu-mmpdc
1658,udp,sixnetudr
1658,tcp,sixnetudr
1659,udp,sg-lm
1659,tcp,sg-lm
1660,udp,skip-mc-gikreq
1660,tcp,skip-mc-gikreq
1661,udp,netview-aix-1
1661,tcp,netview-aix-1
1662,udp,netview-aix-2
1662,tcp,netview-aix-2
1663,udp,netview-aix-3
1663,tcp,netview-aix-3
1664,udp,netview-aix-4
1664,tcp,netview-aix-4
1665,udp,netview-aix-5
1665,tcp,netview-aix-5
1666,udp,netview-aix-6
1666,tcp,netview-aix-6
1667,udp,netview-aix-7
1667,tcp,netview-aix-7
1668,udp,netview-aix-8
1668,tcp,netview-aix-8
1669,udp,netview-aix-9
1669,tcp,netview-aix-9
1670,udp,netview-aix-10
1670,tcp,netview-aix-10
1671,udp,netview-aix-11
1671,tcp,netview-aix-11
1672,udp,netview-aix-12
1672,tcp,netview-aix-12
1673,udp,proshare-mc-1
1673,tcp,proshare-mc-1
1674,udp,proshare-mc-2
1674,tcp,proshare-mc-2
1675,udp,pdp
1675,tcp,pdp
1676,udp,netcomm2
1676,tcp,netcomm1
1677,udp,groupwise
1677,tcp,groupwise
1678,udp,prolink
1678,tcp,prolink
1679,udp,darcorp-lm
1679,tcp,darcorp-lm
1680,udp,microcom-sbp
1680,tcp,microcom-sbp
1681,udp,sd-elmd
1681,tcp,sd-elmd
1682,udp,lanyon-lantern
1682,tcp,lanyon-lantern
1683,udp,ncpm-hip
1683,tcp,ncpm-hip
1684,udp,snaresecure
1684,tcp,snaresecure
1685,udp,n2nremote
1685,tcp,n2nremote
1686,udp,cvmon
1686,tcp,cvmon
1687,udp,nsjtp-ctrl
1687,tcp,nsjtp-ctrl
1688,udp,nsjtp-data
1688,tcp,nsjtp-data
1689,udp,firefox
1689,tcp,firefox
1690,udp,ng-umds
1690,tcp,ng-umds
1691,udp,empire-empuma
1691,tcp,empire-empuma
1692,udp,sstsys-lm
1692,tcp,sstsys-lm
1693,udp,rrirtr
1693,tcp,rrirtr
1694,udp,rrimwm
1694,tcp,rrimwm
1695,udp,rrilwm
1695,tcp,rrilwm
1696,udp,rrifmm
1696,tcp,rrifmm
1697,udp,rrisat
1697,tcp,rrisat
1698,udp,rsvp-encap-1
1698,tcp,rsvp-encap-1
1699,udp,rsvp-encap-2
1699,tcp,rsvp-encap-2
1700,udp,mps-raft
1700,tcp,mps-raft
1701,udp,l2f
1701,tcp,l2f
1702,udp,deskshare
1702,tcp,deskshare
1703,udp,hb-engine
1703,tcp,hb-engine
1704,udp,bcs-broker
1704,tcp,bcs-broker
1705,udp,slingshot
1705,tcp,slingshot
1706,udp,jetform
1706,tcp,jetform
1707,udp,vdmplay
1707,tcp,vdmplay
1708,udp,gat-lmd
1708,tcp,gat-lmd
1709,udp,centra
1709,tcp,centra
1710,udp,impera
1710,tcp,impera
1711,udp,pptconference
1711,tcp,pptconference
1712,udp,registrar
1712,tcp,registrar
1713,udp,conferencetalk
1713,tcp,conferencetalk
1714,udp,sesi-lm
1714,tcp,sesi-lm
1715,udp,houdini-lm
1715,tcp,houdini-lm
1716,udp,xmsg
1716,tcp,xmsg
1717,udp,fj-hdnet
1717,tcp,fj-hdnet
1718,udp,h323gatedisc
1718,tcp,h323gatedisc
1719,udp,h323gatestat
1719,tcp,h323gatestat
1720,udp,h323hostcall
1720,tcp,h323hostcall
1721,udp,caicci
1721,tcp,caicci
1722,udp,hks-lm
1722,tcp,hks-lm
1723,udp,pptp
1723,tcp,pptp
1724,udp,csbphonemaster
1724,tcp,csbphonemaster
1725,udp,iden-ralp
1725,tcp,iden-ralp
1726,udp,iberiagames
1726,tcp,iberiagames
1727,udp,winddx
1727,tcp,winddx
1728,udp,telindus
1728,tcp,telindus
1729,udp,citynl
1729,tcp,citynl
1730,udp,roketz
1730,tcp,roketz
1731,udp,msiccp
1731,tcp,msiccp
1732,udp,proxim
1732,tcp,proxim
1733,udp,siipat
1733,tcp,siipat
1734,udp,cambertx-lm
1734,tcp,cambertx-lm
1735,udp,privatechat
1735,tcp,privatechat
1736,udp,street-stream
1736,tcp,street-stream
1737,udp,ultimad
1737,tcp,ultimad
1738,udp,gamegen1
1738,tcp,gamegen1
1739,udp,webaccess
1739,tcp,webaccess
1740,udp,encore
1740,tcp,encore
1741,udp,cisco-net-mgmt
1741,tcp,cisco-net-mgmt
1742,udp,3Com-nsd
1742,tcp,3Com-nsd
1743,udp,cinegrfx-lm
1743,tcp,cinegrfx-lm
1744,udp,ncpm-ft
1744,tcp,ncpm-ft
1745,udp,remote-winsock
1745,tcp,remote-winsock
1746,udp,ftrapid-1
1746,tcp,ftrapid-1
1747,udp,ftrapid-2
1747,tcp,ftrapid-2
1748,udp,oracle-em1
1748,tcp,oracle-em1
1749,udp,aspen-services
1749,tcp,aspen-services
1750,udp,sslp
1750,tcp,sslp
1751,udp,swiftnet
1751,tcp,swiftnet
1752,udp,lofr-lm
1752,tcp,lofr-lm
1753,udp,translogic-lm
1753,tcp,translogic-lm
1754,udp,oracle-em2
1754,tcp,oracle-em2
1755,udp,ms-streaming
1755,tcp,ms-streaming
1756,udp,capfast-lmd
1756,tcp,capfast-lmd
1757,udp,cnhrp
1757,tcp,cnhrp
1758,udp,tftp-mcast
1758,tcp,tftp-mcast
1759,udp,spss-lm
1759,tcp,spss-lm
1760,udp,www-ldap-gw
1760,tcp,www-ldap-gw
1761,udp,cft-0
1761,tcp,cft-0
1762,udp,cft-1
1762,tcp,cft-1
1763,udp,cft-2
1763,tcp,cft-2
1764,udp,cft-3
1764,tcp,cft-3
1765,udp,cft-4
1765,tcp,cft-4
1766,udp,cft-5
1766,tcp,cft-5
1767,udp,cft-6
1767,tcp,cft-6
1768,udp,cft-7
1768,tcp,cft-7
1769,udp,bmc-net-adm
1769,tcp,bmc-net-adm
1770,udp,bmc-net-svc
1770,tcp,bmc-net-svc
1771,udp,vaultbase
1771,tcp,vaultbase
1772,udp,essweb-gw
1772,tcp,essweb-gw
1773,udp,kmscontrol
1773,tcp,kmscontrol
1774,udp,global-dtserv
1774,tcp,global-dtserv
1776,udp,femis
1776,tcp,femis
1777,udp,powerguardian
1777,tcp,powerguardian
1778,udp,prodigy-intrnet
1778,tcp,prodigy-intrnet
1779,udp,pharmasoft
1779,tcp,pharmasoft
1780,udp,dpkeyserv
1780,tcp,dpkeyserv
1781,udp,answersoft-lm
1781,tcp,answersoft-lm
1782,udp,hp-hcip
1782,tcp,hp-hcip
1784,udp,finle-lm
1784,tcp,finle-lm
1785,udp,windlm
1785,tcp,windlm
1786,udp,funk-logger
1786,tcp,funk-logger
1787,udp,funk-license
1787,tcp,funk-license
1788,udp,psmond
1788,tcp,psmond
1789,udp,hello
1789,tcp,hello
1790,udp,nmsp
1790,tcp,nmsp
1791,udp,ea1
1791,tcp,ea1
1792,udp,ibm-dt-2
1792,tcp,ibm-dt-2
1793,udp,rsc-robot
1793,tcp,rsc-robot
1794,udp,cera-bcm
1794,tcp,cera-bcm
1795,udp,dpi-proxy
1795,tcp,dpi-proxy
1796,udp,vocaltec-admin
1796,tcp,vocaltec-admin
1797,udp,uma
1797,tcp,uma
1798,udp,etp
1798,tcp,etp
1799,udp,netrisk
1799,tcp,netrisk
1800,udp,ansys-lm
1800,tcp,ansys-lm
1801,udp,msmq
1801,tcp,msmq
1802,udp,concomp1
1802,tcp,concomp1
1803,udp,hp-hcip-gwy
1803,tcp,hp-hcip-gwy
1804,udp,enl
1804,tcp,enl
1805,udp,enl-name
1805,tcp,enl-name
1806,udp,musiconline
1806,tcp,musiconline
1807,udp,fhsp
1807,tcp,fhsp
1808,udp,oracle-vp2
1808,tcp,oracle-vp2
1809,udp,oracle-vp1
1809,tcp,oracle-vp1
1810,udp,jerand-lm
1810,tcp,jerand-lm
1811,udp,scientia-sdb
1811,tcp,scientia-sdb
1812,udp,radius
1812,tcp,radius
1813,udp,radius-acct
1813,tcp,radius-acct
1814,udp,tdp-suite
1814,tcp,tdp-suite
1815,udp,mmpft
1815,tcp,mmpft
1816,udp,harp
1816,tcp,harp
1817,udp,rkb-oscs
1817,tcp,rkb-oscs
1818,udp,etftp
1818,tcp,etftp
1819,udp,plato-lm
1819,tcp,plato-lm
1820,udp,mcagent
1820,tcp,mcagent
1821,udp,donnyworld
1821,tcp,donnyworld
1822,udp,es-elmd
1822,tcp,es-elmd
1823,udp,unisys-lm
1823,tcp,unisys-lm
1824,udp,metrics-pas
1824,tcp,metrics-pas
1825,udp,direcpc-video
1825,tcp,direcpc-video
1826,udp,ardt
1826,tcp,ardt
1827,udp,asi
1827,tcp,asi
1828,udp,itm-mcell-u
1828,tcp,itm-mcell-u
1829,udp,optika-emedia
1829,tcp,optika-emedia
1830,udp,net8-cman
1830,tcp,net8-cman
1831,udp,myrtle
1831,tcp,myrtle
1832,udp,tht-treasure
1832,tcp,tht-treasure
1833,udp,udpradio
1833,tcp,udpradio
1834,udp,ardusuni
1834,tcp,ardusuni
1835,udp,ardusmul
1835,tcp,ardusmul
1836,udp,ste-smsc
1836,tcp,ste-smsc
1837,udp,csoft1
1837,tcp,csoft1
1838,udp,talnet
1838,tcp,talnet
1839,udp,netopia-vo1
1839,tcp,netopia-vo1
1840,udp,netopia-vo2
1840,tcp,netopia-vo2
1841,udp,netopia-vo3
1841,tcp,netopia-vo3
1842,udp,netopia-vo4
1842,tcp,netopia-vo4
1843,udp,netopia-vo5
1843,tcp,netopia-vo5
1844,udp,direcpc-dll
1844,tcp,direcpc-dll
1845,udp,altalink
1845,tcp,altalink
1846,udp,tunstall-pnc
1846,tcp,tunstall-pnc
1847,udp,slp-notify
1847,tcp,slp-notify
1848,udp,fjdocdist
1848,tcp,fjdocdist
1849,udp,alpha-sms
1849,tcp,alpha-sms
1850,udp,gsi
1850,tcp,gsi
1851,udp,ctcd
1851,tcp,ctcd
1852,udp,virtual-time
1852,tcp,virtual-time
1853,udp,vids-avtp
1853,tcp,vids-avtp
1854,udp,buddy-draw
1854,tcp,buddy-draw
1855,udp,fiorano-rtrsvc
1855,tcp,fiorano-rtrsvc
1856,udp,fiorano-msgsvc
1856,tcp,fiorano-msgsvc
1857,udp,datacaptor
1857,tcp,datacaptor
1858,udp,privateark
1858,tcp,privateark
1859,udp,gammafetchsvr
1859,tcp,gammafetchsvr
1860,udp,sunscalar-svc
1860,tcp,sunscalar-svc
1861,udp,lecroy-vicp
1861,tcp,lecroy-vicp
1862,udp,techra-server
1862,tcp,techra-server
1863,udp,msnp
1863,tcp,msnp
1864,udp,paradym-31port
1864,tcp,paradym-31port
1865,udp,entp
1865,tcp,entp
1866,udp,swrmi
1866,tcp,swrmi
1867,udp,udrive
1867,tcp,udrive
1868,udp,viziblebrowser
1868,tcp,viziblebrowser
1869,udp,yestrader
1869,tcp,yestrader
1870,udp,sunscalar-dns
1870,tcp,sunscalar-dns
1871,udp,canocentral0
1871,tcp,canocentral0
1872,udp,canocentral1
1872,tcp,canocentral1
1873,udp,fjmpjps
1873,tcp,fjmpjps
1874,udp,fjswapsnp
1874,tcp,fjswapsnp
1875,udp,westell-stats
1875,tcp,westell-stats
1876,udp,ewcappsrv
1876,tcp,ewcappsrv
1877,udp,hp-webqosdb
1877,tcp,hp-webqosdb
1878,udp,drmsmc
1878,tcp,drmsmc
1879,udp,nettgain-nms
1879,tcp,nettgain-nms
1880,udp,vsat-control
1880,tcp,vsat-control
1881,udp,ibm-mqseries2
1881,tcp,ibm-mqseries2
1882,udp,ecsqdmn
1882,tcp,ecsqdmn
1883,udp,ibm-mqisdp
1883,tcp,ibm-mqisdp
1884,udp,idmaps
1884,tcp,idmaps
1885,udp,vrtstrapserver
1885,tcp,vrtstrapserver
1886,udp,leoip
1886,tcp,leoip
1887,udp,filex-lport
1887,tcp,filex-lport
1888,udp,ncconfig
1888,tcp,ncconfig
1889,udp,unify-adapter
1889,tcp,unify-adapter
1890,udp,wilkenlistener
1890,tcp,wilkenlistener
1891,udp,childkey-notif
1891,tcp,childkey-notif
1892,udp,childkey-ctrl
1892,tcp,childkey-ctrl
1893,udp,elad
1893,tcp,elad
1894,udp,o2server-port
1894,tcp,o2server-port
1896,udp,b-novative-ls
1896,tcp,b-novative-ls
1897,udp,metaagent
1897,tcp,metaagent
1898,udp,cymtec-port
1898,tcp,cymtec-port
1899,udp,mc2studios
1899,tcp,mc2studios
1900,udp,ssdp
1900,tcp,ssdp
1901,udp,fjicl-tep-a
1901,tcp,fjicl-tep-a
1902,udp,fjicl-tep-b
1902,tcp,fjicl-tep-b
1903,udp,linkname
1903,tcp,linkname
1904,udp,fjicl-tep-c
1904,tcp,fjicl-tep-c
1905,udp,sugp
1905,tcp,sugp
1906,udp,tpmd
1906,tcp,tpmd
1907,udp,intrastar
1907,tcp,intrastar
1908,udp,dawn
1908,tcp,dawn
1909,udp,global-wlink
1909,tcp,global-wlink
1910,udp,ultrabac
1910,tcp,ultrabac
1911,udp,mtp
1911,tcp,mtp
1912,udp,rhp-iibp
1912,tcp,rhp-iibp
1913,udp,armadp
1913,tcp,armadp
1914,udp,elm-momentum
1914,tcp,elm-momentum
1915,udp,facelink
1915,tcp,facelink
1916,udp,persona
1916,tcp,persona
1917,udp,noagent
1917,tcp,noagent
1918,udp,can-nds
1918,tcp,can-nds
1919,udp,can-dch
1919,tcp,can-dch
1920,udp,can-ferret
1920,tcp,can-ferret
1921,udp,noadmin
1921,tcp,noadmin
1922,udp,tapestry
1922,tcp,tapestry
1923,udp,spice
1923,tcp,spice
1924,udp,xiip
1924,tcp,xiip
1925,udp,discovery-port
1925,tcp,discovery-port
1926,udp,egs
1926,tcp,egs
1927,udp,videte-cipc
1927,tcp,videte-cipc
1928,udp,emsd-port
1928,tcp,emsd-port
1929,udp,bandwiz-system
1929,tcp,bandwiz-system
1930,udp,driveappserver
1930,tcp,driveappserver
1931,udp,amdsched
1931,tcp,amdsched
1932,udp,ctt-broker
1932,tcp,ctt-broker
1933,udp,xmapi
1933,tcp,xmapi
1934,udp,xaapi
1934,tcp,xaapi
1935,udp,macromedia-fcs
1935,tcp,macromedia-fcs
1936,udp,jetcmeserver
1936,tcp,jetcmeserver
1937,udp,jwserver
1937,tcp,jwserver
1938,udp,jwclient
1938,tcp,jwclient
1939,udp,jvserver
1939,tcp,jvserver
1940,udp,jvclient
1940,tcp,jvclient
1941,udp,dic-aida
1941,tcp,dic-aida
1942,udp,res
1942,tcp,res
1943,udp,beeyond-media
1943,tcp,beeyond-media
1944,udp,close-combat
1944,tcp,close-combat
1945,udp,dialogic-elmd
1945,tcp,dialogic-elmd
1946,udp,tekpls
1946,tcp,tekpls
1947,udp,hlserver
1947,tcp,hlserver
1948,udp,eye2eye
1948,tcp,eye2eye
1949,udp,ismaeasdaqlive
1949,tcp,ismaeasdaqlive
1950,udp,ismaeasdaqtest
1950,tcp,ismaeasdaqtest
1951,udp,bcs-lmserver
1951,tcp,bcs-lmserver
1952,udp,mpnjsc
1952,tcp,mpnjsc
1953,udp,rapidbase
1953,tcp,rapidbase
1954,udp,abr-basic
1954,tcp,abr-basic
1955,udp,abr-secure
1955,tcp,abr-secure
1956,udp,vrtl-vmf-ds
1956,tcp,vrtl-vmf-ds
1957,udp,unix-status
1957,tcp,unix-status
1958,udp,dxadmind
1958,tcp,dxadmind
1959,udp,simp-all
1959,tcp,simp-all
1960,udp,nasmanager
1960,tcp,nasmanager
1961,udp,bts-appserver
1961,tcp,bts-appserver
1962,udp,biap-mp
1962,tcp,biap-mp
1963,udp,webmachine
1963,tcp,webmachine
1964,udp,solid-e-engine
1964,tcp,solid-e-engine
1965,udp,tivoli-npm
1965,tcp,tivoli-npm
1966,udp,slush
1966,tcp,slush
1967,udp,sns-quote
1967,tcp,sns-quote
1968,udp,lipsinc
1968,tcp,lipsinc
1969,udp,lipsinc1
1969,tcp,lipsinc1
1970,udp,netop-rc
1970,tcp,netop-rc
1971,udp,netop-school
1971,tcp,netop-school
1972,udp,intersys-cache
1972,tcp,intersys-cache
1973,udp,dlsrap
1973,tcp,dlsrap
1974,udp,drp
1974,tcp,drp
1975,udp,tcoflashagent
1975,tcp,tcoflashagent
1976,udp,tcoregagent
1976,tcp,tcoregagent
1977,udp,tcoaddressbook
1977,tcp,tcoaddressbook
1978,udp,unisql
1978,tcp,unisql
1979,udp,unisql-java
1979,tcp,unisql-java
1980,udp,pearldoc-xact
1980,tcp,pearldoc-xact
1981,udp,p2pq
1981,tcp,p2pq
1982,udp,estamp
1982,tcp,estamp
1983,udp,lhtp
1983,tcp,lhtp
1984,udp,bb
1984,tcp,bb
1985,udp,hsrp
1985,tcp,hsrp
1986,udp,licensedaemon
1986,tcp,licensedaemon
1987,udp,tr-rsrb-p1
1987,tcp,tr-rsrb-p1
1988,udp,tr-rsrb-p2
1988,tcp,tr-rsrb-p2
1989,udp,tr-rsrb-p3
1989,tcp,tr-rsrb-p3
1989,udp,mshnet
1989,tcp,mshnet
1990,udp,stun-p1
1990,tcp,stun-p1
1991,udp,stun-p2
1991,tcp,stun-p2
1992,udp,stun-p3
1992,tcp,stun-p3
1992,udp,ipsendmsg
1992,tcp,ipsendmsg
1993,udp,snmp-tcp-port
1993,tcp,snmp-tcp-port
1994,udp,stun-port
1994,tcp,stun-port
1995,udp,perf-port
1995,tcp,perf-port
1996,udp,tr-rsrb-port
1996,tcp,tr-rsrb-port
1997,udp,gdp-port
1997,tcp,gdp-port
1998,udp,x25-svc-port
1998,tcp,x25-svc-port
1999,udp,tcp-id-port
1999,tcp,tcp-id-port
2000,udp,callbook
2000,tcp,callbook
2001,udp,wizard
2001,tcp,dc
2002,udp,globe
2002,tcp,globe
2004,udp,emce
2004,tcp,mailbox
2005,udp,oracle
2005,tcp,berknet
2006,udp,raid-cc
2006,tcp,invokator
2007,udp,raid-am
2007,tcp,dectalk
2008,udp,terminaldb
2008,tcp,conf
2009,udp,whosockami
2009,tcp,news
2010,udp,pipe_server
2010,tcp,search
2011,udp,servserv
2011,tcp,raid-cc
2012,udp,raid-ac
2012,tcp,ttyinfo
2013,udp,raid-cd
2013,tcp,raid-am
2014,udp,raid-sf
2014,tcp,troff
2015,udp,raid-cs
2015,tcp,cypress
2016,udp,bootserver
2016,tcp,bootserver
2017,udp,bootclient
2017,tcp,cypress-stat
2018,udp,rellpack
2018,tcp,terminaldb
2019,udp,about
2019,tcp,whosockami
2020,udp,xinupageserver
2020,tcp,xinupageserver
2021,udp,xinuexpansion1
2021,tcp,servexec
2022,udp,xinuexpansion2
2022,tcp,down
2023,udp,xinuexpansion3
2023,tcp,xinuexpansion3
2024,udp,xinuexpansion4
2024,tcp,xinuexpansion4
2025,udp,xribs
2025,tcp,ellpack
2026,udp,scrabble
2026,tcp,scrabble
2027,udp,shadowserver
2027,tcp,shadowserver
2028,udp,submitserver
2028,tcp,submitserver
2029,tcp,hsrpv6
2029,udp,hsrpv6
2030,udp,device2
2030,tcp,device2
2031,tcp,mobrien-chat
2031,udp,mobrien-chat
2032,udp,blackboard
2032,tcp,blackboard
2033,udp,glogger
2033,tcp,glogger
2034,udp,scoremgr
2034,tcp,scoremgr
2035,udp,imsldoc
2035,tcp,imsldoc
2036,tcp,e-dpnet
2036,udp,e-dpnet
2037,udp,p2plus
2037,tcp,p2plus
2038,udp,objectmanager
2038,tcp,objectmanager
2039,tcp,prizma
2039,udp,prizma
2040,udp,lam
2040,tcp,lam
2041,udp,interbase
2041,tcp,interbase
2042,udp,isis
2042,tcp,isis
2043,udp,isis-bcast
2043,tcp,isis-bcast
2044,udp,rimsl
2044,tcp,rimsl
2045,udp,cdfunc
2045,tcp,cdfunc
2046,udp,sdfunc
2046,tcp,sdfunc
2047,udp,dls
2047,tcp,dls
2048,udp,dls-monitor
2048,tcp,dls-monitor
2049,tcp,nfsd
2049,udp,nfsd
2050,udp,av-emb-config
2050,tcp,av-emb-config
2051,udp,epnsdp
2051,tcp,epnsdp
2052,udp,clearvisn
2052,tcp,clearvisn
2053,udp,lot105-ds-upd
2053,tcp,lot105-ds-upd
2054,udp,weblogin
2054,tcp,weblogin
2055,udp,iop
2055,tcp,iop
2056,udp,omnisky
2056,tcp,omnisky
2057,udp,rich-cp
2057,tcp,rich-cp
2058,udp,newwavesearch
2058,tcp,newwavesearch
2059,udp,bmc-messaging
2059,tcp,bmc-messaging
2060,udp,teleniumdaemon
2060,tcp,teleniumdaemon
2061,udp,netmount
2061,tcp,netmount
2062,udp,icg-swp
2062,tcp,icg-swp
2063,udp,icg-bridge
2063,tcp,icg-bridge
2064,udp,icg-iprelay
2064,tcp,icg-iprelay
2065,udp,dlsrpn
2065,tcp,dlsrpn
2066,tcp,aura
2066,udp,aura
2067,udp,dlswpn
2067,tcp,dlswpn
2068,udp,avauthsrvprtcl
2068,tcp,avauthsrvprtcl
2069,udp,event-port
2069,tcp,event-port
2070,udp,ah-esp-encap
2070,tcp,ah-esp-encap
2071,udp,acp-port
2071,tcp,acp-port
2072,udp,msync
2072,tcp,msync
2073,udp,gxs-data-port
2073,tcp,gxs-data-port
2074,udp,vrtl-vmf-sa
2074,tcp,vrtl-vmf-sa
2075,udp,newlixengine
2075,tcp,newlixengine
2076,udp,newlixconfig
2076,tcp,newlixconfig
2077,udp,trellisagt
2077,tcp,trellisagt
2078,udp,trellissvr
2078,tcp,trellissvr
2079,udp,idware-router
2079,tcp,idware-router
2080,udp,autodesk-nlm
2080,tcp,autodesk-nlm
2081,udp,kme-trap-port
2081,tcp,kme-trap-port
2082,udp,infowave
2082,tcp,infowave
2083,tcp,radsec
2083,udp,radsec
2084,tcp,sunclustergeo
2084,udp,sunclustergeo
2085,tcp,ada-cip
2085,udp,ada-cip
2086,udp,gnunet
2086,tcp,gnunet
2087,udp,eli
2087,tcp,eli
2088,tcp,ip-blf
2088,udp,ip-blf
2089,udp,sep
2089,tcp,sep
2090,udp,lrp
2090,tcp,lrp
2091,udp,prp
2091,tcp,prp
2092,udp,descent3
2092,tcp,descent3
2093,udp,nbx-cc
2093,tcp,nbx-cc
2094,udp,nbx-au
2094,tcp,nbx-au
2095,udp,nbx-ser
2095,tcp,nbx-ser
2096,udp,nbx-dir
2096,tcp,nbx-dir
2097,udp,jetformpreview
2097,tcp,jetformpreview
2098,udp,dialog-port
2098,tcp,dialog-port
2099,udp,h2250-annex-g
2099,tcp,h2250-annex-g
2100,udp,amiganetfs
2100,tcp,amiganetfs
2101,udp,rtcm-sc104
2101,tcp,rtcm-sc104
2102,udp,zephyr-srv
2102,tcp,zephyr-srv
2103,udp,zephyr-clt
2103,tcp,zephyr-clt
2104,udp,zephyr-hm
2104,tcp,zephyr-hm
2105,udp,minipay
2105,tcp,minipay
2106,udp,mzap
2106,tcp,mzap
2107,udp,bintec-admin
2107,tcp,bintec-admin
2108,udp,comcam
2108,tcp,comcam
2109,udp,ergolight
2109,tcp,ergolight
2110,udp,umsp
2110,tcp,umsp
2111,udp,dsatp
2111,tcp,dsatp
2112,udp,idonix-metanet
2112,tcp,idonix-metanet
2113,udp,hsl-storm
2113,tcp,hsl-storm
2114,udp,newheights
2114,tcp,newheights
2115,udp,kdm
2115,tcp,kdm
2116,udp,ccowcmr
2116,tcp,ccowcmr
2117,udp,mentaclient
2117,tcp,mentaclient
2118,udp,mentaserver
2118,tcp,mentaserver
2119,udp,gsigatekeeper
2119,tcp,gsigatekeeper
2120,udp,qencp
2120,tcp,qencp
2121,udp,scientia-ssdb
2121,tcp,scientia-ssdb
2122,udp,caupc-remote
2122,tcp,caupc-remote
2123,udp,gtp-control
2123,tcp,gtp-control
2124,udp,elatelink
2124,tcp,elatelink
2125,udp,lockstep
2125,tcp,lockstep
2126,udp,pktcable-cops
2126,tcp,pktcable-cops
2127,udp,index-pc-wb
2127,tcp,index-pc-wb
2128,udp,net-steward
2128,tcp,net-steward
2129,udp,cs-live
2129,tcp,cs-live
2130,udp,swc-xds
2130,tcp,swc-xds
2131,udp,avantageb2b
2131,tcp,avantageb2b
2132,udp,avail-epmap
2132,tcp,avail-epmap
2133,udp,zymed-zpp
2133,tcp,zymed-zpp
2134,udp,avenue
2134,tcp,avenue
2135,udp,gris
2135,tcp,gris
2136,udp,appworxsrv
2136,tcp,appworxsrv
2137,udp,connect
2137,tcp,connect
2138,udp,unbind-cluster
2138,tcp,unbind-cluster
2139,udp,ias-auth
2139,tcp,ias-auth
2140,udp,ias-reg
2140,tcp,ias-reg
2141,udp,ias-admind
2141,tcp,ias-admind
2142,udp,tdm-over-ip
2142,tcp,tdm-over-ip
2143,udp,lv-jc
2143,tcp,lv-jc
2144,udp,lv-ffx
2144,tcp,lv-ffx
2145,udp,lv-pici
2145,tcp,lv-pici
2146,udp,lv-not
2146,tcp,lv-not
2147,udp,lv-auth
2147,tcp,lv-auth
2148,udp,veritas-ucl
2148,tcp,veritas-ucl
2149,udp,acptsys
2149,tcp,acptsys
2150,udp,dynamic3d
2150,tcp,dynamic3d
2151,udp,docent
2151,tcp,docent
2152,udp,gtp-user
2152,tcp,gtp-user
2159,udp,gdbremote
2159,tcp,gdbremote
2160,udp,apc-2160
2160,tcp,apc-2160
2161,udp,apc-2161
2161,tcp,apc-2161
2162,udp,navisphere
2162,tcp,navisphere
2163,udp,navisphere-sec
2163,tcp,navisphere-sec
2164,udp,ddns-v3
2164,tcp,ddns-v3
2165,udp,x-bone-api
2165,tcp,x-bone-api
2166,udp,iwserver
2166,tcp,iwserver
2167,udp,raw-serial
2167,tcp,raw-serial
2168,tcp,easy-soft-mux
2168,udp,easy-soft-mux
2169,tcp,brain
2169,udp,brain
2170,tcp,eyetv
2170,udp,eyetv
2171,tcp,msfw-storage
2171,udp,msfw-storage
2172,tcp,msfw-s-storage
2172,udp,msfw-s-storage
2173,tcp,msfw-replica
2173,udp,msfw-replica
2174,tcp,msfw-array
2174,udp,msfw-array
2175,tcp,airsync
2175,udp,airsync
2176,tcp,rapi
2176,udp,rapi
2177,tcp,qwave
2177,udp,qwave
2178,tcp,bitspeer
2178,udp,bitspeer
2180,udp,mc-gt-srv
2180,tcp,mc-gt-srv
2181,udp,eforward
2181,tcp,eforward
2182,tcp,cgn-stat
2182,udp,cgn-stat
2183,tcp,cgn-config
2183,udp,cgn-config
2184,tcp,nvd
2184,udp,nvd
2185,tcp,onbase-dds
2185,udp,onbase-dds
2190,udp,tivoconnect
2190,tcp,tivoconnect
2191,udp,tvbus
2191,tcp,tvbus
2192,tcp,asdis
2192,udp,asdis
2197,tcp,mnp-exchange
2197,udp,mnp-exchange
2198,tcp,onehome-remote
2198,udp,onehome-remote
2199,tcp,onehome-help
2199,udp,onehome-help
2200,udp,ici
2200,tcp,ici
2201,udp,ats
